measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Male,15-49 years,Tuberculosis,Number,2000,354599.72326513,396939.2141882864,301948.0404119455
Deaths,Global,Female,15-49 years,Tuberculosis,Number,2000,221028.0971170489,237438.6855818617,203647.04720566922
Deaths,Global,Both,15-49 years,Tuberculosis,Number,2000,575627.8203821793,624581.3441094388,524361.7327611733
Deaths,Global,Male,15-49 years,Tuberculosis,Percent,2000,0.06926916216899386,0.07683563104639247,0.05916515741445014
Deaths,Global,Female,15-49 years,Tuberculosis,Percent,2000,0.06627234774550178,0.07207902317207972,0.06034175574991924
Deaths,Global,Both,15-49 years,Tuberculosis,Percent,2000,0.06808352281444849,0.07435475581525916,0.062278309131432306
Deaths,Global,Male,15-49 years,Tuberculosis,Rate,2000,22.012100276804333,24.640362677258985,18.743699184905434
Deaths,Global,Female,15-49 years,Tuberculosis,Rate,2000,14.007790028667825,15.047821049430965,12.906255423737186
Deaths,Global,Both,15-49 years,Tuberculosis,Rate,2000,18.051408145950003,19.586566812180756,16.443728602111445
Deaths,Global,Male,15-49 years,HIV/AIDS,Number,2000,434231.0430525624,558954.7900752802,329044.74650945823
Deaths,Global,Female,15-49 years,HIV/AIDS,Number,2000,564742.857812553,734891.0551681228,417501.17455550365
Deaths,Global,Both,15-49 years,HIV/AIDS,Number,2000,998973.9008651144,1290925.2985196284,748060.3389167048
Deaths,Global,Male,15-49 years,HIV/AIDS,Percent,2000,0.08471662661652862,0.10694632378821695,0.06546994160191172
Deaths,Global,Female,15-49 years,HIV/AIDS,Percent,2000,0.16878705345214248,0.21013799891439278,0.12932266770514766
Deaths,Global,Both,15-49 years,HIV/AIDS,Percent,2000,0.1179108446768556,0.14877623422762323,0.09011258493975693
Deaths,Global,Male,15-49 years,HIV/AIDS,Rate,2000,26.955286865319092,34.69762687924548,20.425751856287764
Deaths,Global,Female,15-49 years,HIV/AIDS,Rate,2000,35.79092194889038,46.5741673977755,26.45939075699797
Deaths,Global,Both,15-49 years,HIV/AIDS,Rate,2000,31.327335082059403,40.482788747143076,23.45880796139712
Deaths,South Africa,Male,15-49 years,Tuberculosis,Number,2000,8304.207947070587,8965.4531665566,7650.512958136997
Deaths,South Africa,Female,15-49 years,Tuberculosis,Number,2000,5527.06581280276,6415.950738869748,4680.217491612455
Deaths,South Africa,Both,15-49 years,Tuberculosis,Number,2000,13831.27375987335,15086.326907589535,12744.444188520596
Deaths,South Africa,Male,15-49 years,Tuberculosis,Percent,2000,0.07081703422010807,0.0767073550835195,0.06574116443100404
Deaths,South Africa,Female,15-49 years,Tuberculosis,Percent,2000,0.05278917867243871,0.06033530487064773,0.045113358222657114
Deaths,South Africa,Both,15-49 years,Tuberculosis,Percent,2000,0.062323541594052866,0.06781446112188175,0.05759863109595295
Deaths,South Africa,Male,15-49 years,Tuberculosis,Rate,2000,70.57710117427335,76.19699545607929,65.0213759726476
Deaths,South Africa,Female,15-49 years,Tuberculosis,Rate,2000,43.59857855882328,50.61027709679191,36.918473000228474
Deaths,South Africa,Both,15-49 years,Tuberculosis,Rate,2000,56.58508588236498,61.71963034901312,52.13876042440859
Deaths,Zimbabwe,Male,15-49 years,Tuberculosis,Number,2000,2070.6116225177952,2670.195704857756,1444.0477549147424
Deaths,Zimbabwe,Female,15-49 years,Tuberculosis,Number,2000,606.423281935079,831.3636117458548,384.9625478293183
Deaths,Zimbabwe,Both,15-49 years,Tuberculosis,Number,2000,2677.0349044528757,3389.679810654544,1981.706287563228
Deaths,Zimbabwe,Male,15-49 years,Tuberculosis,Percent,2000,0.05055617850350044,0.07180037835706353,0.034093288847098356
Deaths,Zimbabwe,Female,15-49 years,Tuberculosis,Percent,2000,0.012344422078597171,0.018716654247654202,0.006921442633562344
Deaths,Zimbabwe,Both,15-49 years,Tuberculosis,Percent,2000,0.029694692404443314,0.042346949148619265,0.02031103326495122
Deaths,Zimbabwe,Male,15-49 years,Tuberculosis,Rate,2000,74.21680531340449,95.70766078051113,51.75891505885005
